,count,mean,std,min,25%,50%,75%,max
activityId,312.0,12005290257.660257,4494659120.294837,6173191603.0,8282011449.5,9770837359.5,15923639650.25,20970996643.0
distance_miles,312.0,2.4595733155788,1.668492120519046,0.0,1.09958273455413,2.223796693491199,3.395269227214262,13.067313308561276
duration_minutes,312.0,31.21528200910896,22.43590805557633,0.0288833340009053,13.81441650390625,29.868725585937497,41.189844767252595,216.82744140625
elapsedDuration_minutes,312.0,31.585918512953146,22.61731391913149,0.056850000222524,14.886879475911458,29.918016560872395,41.65708414713542,218.486181640625
maxHR,302.0,174.73509933774835,15.606541769507691,90.0,172.0,179.0,184.0,199.0
averageRunningCadenceInStepsPerMinute,312.0,148.37855568910257,32.12268810077213,0.0,152.24609375,156.3828125,158.9921875,167.265625
maxRunningCadenceInStepsPerMinute,312.0,164.1698717948718,30.983762825485776,0.0,165.0,167.0,171.0,240.0
steps,312.0,4696.98717948718,3163.2653607625743,0.0,1809.0,4457.0,6416.0,24570.0
beginTimestamp,312.0,1681661438426.282,43703287019.895744,1611707468000.0,1644644229750.0,1665488823000.0,1718458253500.0,1762974142000.0
avgStrideLength,303.0,92.32994697539884,165.3133244736718,0.0,73.58140422158414,81.88011179435674,89.19484755404918,2915.0554448854737
maxElevation,110.0,1276.5858714710582,311.0488887390121,832.9249877929688,858.178955078125,1414.2949829101562,1482.1328735351562,2518.25048828125
maxDoubleCadence,312.0,164.1698717948718,30.983762825485776,0.0,165.0,167.0,171.0,240.0
lapCount,312.0,3.173076923076923,2.0069444117556716,1.0,2.0,3.0,4.0,17.0
endLatitude,109.0,39.46845445388911,1.6619316612946744,37.08727947436273,37.11597944609821,40.49073382280767,40.49446444027126,41.17953867651522
endLongitude,109.0,-112.48064542120886,0.7295527616189079,-113.5470274463296,-113.52878867648542,-111.99712880887093,-111.99572182260454,-111.7053390853107
minActivityLapDuration,312.0,356.9244251612287,778.9749564384949,0.5130000114440918,37.3072509765625,300.62449645996094,575.0664978027344,13009.646484375
fastestSplit_1000,43.0,497.0810454612554,160.61964040460606,370.4330139160156,436.5814971923828,456.3410034179688,490.8125,1197.197998046875
fastestSplit_1609,42.0,820.4097115652902,257.2446553068936,649.1300048828125,721.4502258300781,759.8034973144531,799.9674835205078,1926.248046875
hrTimeInZone_1,302.0,46.28476821192053,54.51317344930675,0.0,19.0,32.0,55.75,552.0
hrTimeInZone_2,302.0,141.99668874172184,114.49065299643738,0.0,59.25,110.0,201.75,749.0
hrTimeInZone_3,302.0,379.95364238410593,428.41110814035983,0.0,150.25,251.5,447.75,2922.0
hrTimeInZone_4,302.0,739.1258278145696,795.8342855320964,0.0,185.25,499.5,1023.5,7210.0
hrTimeInZone_5,302.0,513.4834437086092,602.2525640358614,0.0,16.0,264.5,797.75,2936.0
fastestSplit_5000,13.0,2487.857928936298,309.5850470388802,2119.73095703125,2299.802978515625,2413.3330078125,2507.537109375,3346.323974609375
